district,disaster_type,severity,season,num_households,avg_damage_level,pct_elderly,pct_children_u5,pct_disabled,avg_household_size,total_funding
Qacha's Nek,Drought,Moderate,Spring,58,1.5,0.15,0.22,0.09,7.0,377500
Berea,Heavy Rainfall,Critical,Winter,391,2.8,0.1,0.15,0.06,5.5,14750500
Quthing,Strong Winds,Critical,Spring,308,2.56,0.14,0.2,0.08,7.0,11616500
Mokhotlong,Heavy Rainfall,Moderate,Winter,103,2.79,0.17,0.24,0.1,8.0,3992500
Mafeteng,Drought,Low,Winter,15,1.53,0.12,0.18,0.07,6.0,78000
Butha-Buthe,Strong Winds,Critical,Summer,447,2.68,0.14,0.19,0.08,6.5,18034500
Leribe,Strong Winds,Critical,Spring,309,2.63,0.11,0.16,0.06,5.5,10516500
Qacha's Nek,Drought,Moderate,Summer,97,1.65,0.15,0.22,0.09,7.0,686000
Leribe,Strong Winds,Low,Spring,50,2.6,0.11,0.16,0.06,5.5,2194000
Quthing,Strong Winds,Moderate,Autumn,109,2.51,0.14,0.2,0.08,7.0,4053000
Butha-Buthe,Heavy Rainfall,Low,Autumn,37,3.05,0.14,0.19,0.08,6.5,1972000
Mafeteng,Strong Winds,Low,Spring,21,3.05,0.12,0.18,0.07,6.0,1202000
Mafeteng,Drought,Critical,Spring,385,1.56,0.12,0.18,0.07,6.0,2602500
Thaba-Tseka,Heavy Rainfall,Low,Summer,11,2.82,0.16,0.23,0.09,7.5,249000
Mohale's Hoek,Heavy Rainfall,Moderate,Summer,152,2.8,0.13,0.19,0.07,6.0,6387500
Leribe,Heavy Rainfall,Low,Winter,12,2.92,0.11,0.16,0.06,5.5,729500
Thaba-Tseka,Strong Winds,Critical,Summer,435,2.58,0.16,0.23,0.09,7.5,17606500
Mohale's Hoek,Strong Winds,Low,Winter,39,2.82,0.13,0.19,0.07,6.0,1558000
Mafeteng,Heavy Rainfall,Low,Winter,14,2.57,0.12,0.18,0.07,6.0,529500
Quthing,Strong Winds,Low,Autumn,25,2.72,0.14,0.2,0.08,7.0,1040000
Mohale's Hoek,Heavy Rainfall,Moderate,Autumn,88,2.85,0.13,0.19,0.07,6.0,3869500
Thaba-Tseka,Drought,Low,Spring,33,1.76,0.16,0.23,0.09,7.5,237500
Butha-Buthe,Drought,Moderate,Spring,184,1.64,0.14,0.19,0.08,6.5,1362000
Mafeteng,Drought,Critical,Autumn,405,1.63,0.12,0.18,0.07,6.0,2727500
Leribe,Heavy Rainfall,Critical,Winter,271,2.85,0.11,0.16,0.06,5.5,10426500
Butha-Buthe,Drought,Low,Winter,47,1.57,0.14,0.19,0.08,6.5,335000
Berea,Strong Winds,Moderate,Spring,135,2.61,0.1,0.15,0.06,5.5,5556500
Leribe,Drought,Critical,Autumn,286,1.69,0.11,0.16,0.06,5.5,1815500
Mokhotlong,Drought,Moderate,Spring,148,1.66,0.17,0.24,0.1,8.0,1086000
Mokhotlong,Heavy Rainfall,Moderate,Autumn,126,2.8,0.17,0.24,0.1,8.0,4004500
Berea,Heavy Rainfall,Moderate,Winter,113,2.65,0.1,0.15,0.06,5.5,4293000
Maseru,Drought,Low,Autumn,11,1.55,0.08,0.12,0.05,4.5,50000
Qacha's Nek,Drought,Critical,Winter,297,1.63,0.15,0.22,0.09,7.0,2061500
Thaba-Tseka,Strong Winds,Moderate,Spring,63,2.48,0.16,0.23,0.09,7.5,2158000
Mokhotlong,Heavy Rainfall,Low,Winter,48,2.48,0.17,0.24,0.1,8.0,1792500
Mafeteng,Strong Winds,Critical,Autumn,320,2.66,0.12,0.18,0.07,6.0,12035500
Butha-Buthe,Strong Winds,Low,Winter,30,2.43,0.14,0.19,0.08,6.5,987500
Berea,Strong Winds,Moderate,Summer,89,2.45,0.1,0.15,0.06,5.5,2750500
Thaba-Tseka,Strong Winds,Low,Winter,20,2.45,0.16,0.23,0.09,7.5,493000
Leribe,Heavy Rainfall,Moderate,Summer,110,2.71,0.11,0.16,0.06,5.5,4390500
Thaba-Tseka,Drought,Moderate,Spring,125,1.58,0.16,0.23,0.09,7.5,832000
Qacha's Nek,Heavy Rainfall,Moderate,Autumn,148,2.76,0.15,0.22,0.09,7.0,5116500
Mokhotlong,Strong Winds,Critical,Spring,250,2.59,0.17,0.24,0.1,8.0,10638500
Maseru,Drought,Low,Winter,14,1.43,0.08,0.12,0.05,4.5,85500
Mokhotlong,Drought,Low,Summer,46,1.5,0.17,0.24,0.1,8.0,318000
Mafeteng,Drought,Low,Winter,36,1.58,0.12,0.18,0.07,6.0,251000
Maseru,Strong Winds,Moderate,Autumn,116,2.55,0.08,0.12,0.05,4.5,4340500
Leribe,Heavy Rainfall,Low,Summer,45,2.96,0.11,0.16,0.06,5.5,1875500
Leribe,Drought,Critical,Spring,405,1.59,0.11,0.16,0.06,5.5,2604500
Quthing,Drought,Critical,Winter,366,1.59,0.14,0.2,0.08,7.0,2593500
Qacha's Nek,Strong Winds,Critical,Winter,445,2.56,0.15,0.22,0.09,7.0,16007500
Maseru,Drought,Critical,Spring,231,1.58,0.08,0.12,0.05,4.5,1401500
Thaba-Tseka,Strong Winds,Low,Autumn,24,2.75,0.16,0.23,0.09,7.5,902500
Maseru,Strong Winds,Critical,Autumn,475,2.55,0.08,0.12,0.05,4.5,16555000
Leribe,Strong Winds,Critical,Spring,369,2.56,0.11,0.16,0.06,5.5,13084500
Thaba-Tseka,Drought,Critical,Spring,358,1.56,0.16,0.23,0.09,7.5,2501500
Quthing,Strong Winds,Critical,Winter,392,2.57,0.14,0.2,0.08,7.0,15007500
Mohale's Hoek,Strong Winds,Critical,Summer,236,2.71,0.13,0.19,0.07,6.0,9925500
Maseru,Drought,Low,Autumn,17,1.53,0.08,0.12,0.05,4.5,103500
Mohale's Hoek,Heavy Rainfall,Critical,Autumn,221,2.86,0.13,0.19,0.07,6.0,7897500
Quthing,Heavy Rainfall,Low,Autumn,20,2.65,0.14,0.2,0.08,7.0,452000
Leribe,Strong Winds,Low,Winter,19,2.79,0.11,0.16,0.06,5.5,819500
Mafeteng,Heavy Rainfall,Moderate,Summer,174,2.92,0.12,0.18,0.07,6.0,7794000
Quthing,Drought,Low,Spring,44,1.52,0.14,0.2,0.08,7.0,299000
Berea,Drought,Low,Autumn,35,1.63,0.1,0.15,0.06,5.5,229500
Berea,Drought,Low,Autumn,23,1.7,0.1,0.15,0.06,5.5,169000
Mohale's Hoek,Heavy Rainfall,Low,Summer,37,2.73,0.13,0.19,0.07,6.0,1316000
Mokhotlong,Drought,Low,Winter,26,1.62,0.17,0.24,0.1,8.0,174000
Maseru,Drought,Low,Summer,50,1.54,0.08,0.12,0.05,4.5,297000
Berea,Drought,Moderate,Winter,129,1.65,0.1,0.15,0.06,5.5,835500
Quthing,Drought,Critical,Winter,408,1.63,0.14,0.2,0.08,7.0,2834500
Leribe,Heavy Rainfall,Low,Spring,32,2.75,0.11,0.16,0.06,5.5,1436500
Mohale's Hoek,Heavy Rainfall,Critical,Autumn,408,2.81,0.13,0.19,0.07,6.0,16198500
Thaba-Tseka,Drought,Critical,Autumn,488,1.6,0.16,0.23,0.09,7.5,3376000
Mohale's Hoek,Strong Winds,Critical,Summer,414,2.69,0.13,0.19,0.07,6.0,17782500
Berea,Drought,Moderate,Autumn,178,1.58,0.1,0.15,0.06,5.5,1192000
Mokhotlong,Heavy Rainfall,Moderate,Summer,183,2.75,0.17,0.24,0.1,8.0,6646000
Quthing,Heavy Rainfall,Critical,Autumn,347,2.76,0.14,0.2,0.08,7.0,12169500
Mohale's Hoek,Heavy Rainfall,Critical,Spring,453,2.85,0.13,0.19,0.07,6.0,18704000
Quthing,Drought,Low,Winter,44,1.55,0.14,0.2,0.08,7.0,316000
Mohale's Hoek,Heavy Rainfall,Critical,Summer,413,2.65,0.13,0.19,0.07,6.0,13145500
Maseru,Heavy Rainfall,Critical,Winter,274,2.73,0.08,0.12,0.05,4.5,9871000
Qacha's Nek,Drought,Low,Winter,42,1.5,0.15,0.22,0.09,7.0,279500
Leribe,Drought,Moderate,Summer,178,1.67,0.11,0.16,0.06,5.5,1206500
Qacha's Nek,Strong Winds,Moderate,Autumn,172,2.61,0.15,0.22,0.09,7.0,6632000
Maseru,Drought,Low,Spring,22,1.41,0.08,0.12,0.05,4.5,133000
Mohale's Hoek,Drought,Critical,Spring,496,1.68,0.13,0.19,0.07,6.0,3412500
Mafeteng,Heavy Rainfall,Moderate,Autumn,198,2.85,0.12,0.18,0.07,6.0,7744500
Qacha's Nek,Heavy Rainfall,Moderate,Spring,199,2.78,0.15,0.22,0.09,7.0,8100000
Berea,Drought,Low,Winter,28,1.75,0.1,0.15,0.06,5.5,196500
Leribe,Drought,Critical,Autumn,385,1.58,0.11,0.16,0.06,5.5,2437500
Leribe,Strong Winds,Low,Winter,50,2.6,0.11,0.16,0.06,5.5,1593500
Quthing,Heavy Rainfall,Critical,Winter,332,2.78,0.14,0.2,0.08,7.0,12768500
Quthing,Drought,Critical,Summer,288,1.57,0.14,0.2,0.08,7.0,1900000
Quthing,Strong Winds,Moderate,Winter,128,2.58,0.14,0.2,0.08,7.0,4018000
Thaba-Tseka,Strong Winds,Low,Autumn,11,2.45,0.16,0.23,0.09,7.5,334000
Mohale's Hoek,Strong Winds,Critical,Spring,233,2.58,0.13,0.19,0.07,6.0,9379500
Butha-Buthe,Strong Winds,Critical,Winter,484,2.62,0.14,0.19,0.08,6.5,18660500
Berea,Strong Winds,Critical,Winter,236,2.54,0.1,0.15,0.06,5.5,8416000
Leribe,Strong Winds,Low,Winter,13,2.0,0.11,0.16,0.06,5.5,348500
Mokhotlong,Heavy Rainfall,Low,Summer,33,2.79,0.17,0.24,0.1,8.0,1213500
Mafeteng,Drought,Low,Winter,32,1.72,0.12,0.18,0.07,6.0,223000
Mohale's Hoek,Strong Winds,Moderate,Autumn,171,2.61,0.13,0.19,0.07,6.0,6998000
Quthing,Drought,Critical,Summer,479,1.59,0.14,0.2,0.08,7.0,3331000
Qacha's Nek,Drought,Low,Autumn,45,1.49,0.15,0.22,0.09,7.0,289500
Qacha's Nek,Drought,Moderate,Spring,94,1.67,0.15,0.22,0.09,7.0,668000
Mafeteng,Strong Winds,Critical,Summer,291,2.65,0.12,0.18,0.07,6.0,10651000
Mokhotlong,Drought,Low,Summer,40,1.45,0.17,0.24,0.1,8.0,287500
Qacha's Nek,Heavy Rainfall,Low,Autumn,31,3.0,0.15,0.22,0.09,7.0,1506500
Maseru,Drought,Low,Winter,24,1.58,0.08,0.12,0.05,4.5,153000
Mohale's Hoek,Strong Winds,Low,Summer,10,2.2,0.13,0.19,0.07,6.0,377000
Quthing,Strong Winds,Moderate,Winter,141,2.77,0.14,0.2,0.08,7.0,6556500
Butha-Buthe,Heavy Rainfall,Low,Winter,38,2.68,0.14,0.19,0.08,6.5,1096000
Qacha's Nek,Strong Winds,Low,Spring,34,2.56,0.15,0.22,0.09,7.0,1272000
Thaba-Tseka,Drought,Critical,Summer,232,1.64,0.16,0.23,0.09,7.5,1665500
Qacha's Nek,Drought,Moderate,Winter,85,1.66,0.15,0.22,0.09,7.0,590500
Mohale's Hoek,Strong Winds,Critical,Spring,315,2.51,0.13,0.19,0.07,6.0,11172500
Maseru,Strong Winds,Low,Spring,35,2.63,0.08,0.12,0.05,4.5,1610000
Butha-Buthe,Heavy Rainfall,Moderate,Autumn,57,2.82,0.14,0.19,0.08,6.5,2169500
Berea,Drought,Low,Winter,10,1.7,0.1,0.15,0.06,5.5,73500
Mokhotlong,Strong Winds,Moderate,Spring,78,2.65,0.17,0.24,0.1,8.0,3252500
Berea,Heavy Rainfall,Moderate,Autumn,197,2.87,0.1,0.15,0.06,5.5,9002000
Maseru,Drought,Critical,Autumn,228,1.59,0.08,0.12,0.05,4.5,1333000
Mafeteng,Heavy Rainfall,Moderate,Spring,169,2.77,0.12,0.18,0.07,6.0,7036500
Mohale's Hoek,Heavy Rainfall,Moderate,Winter,198,2.82,0.13,0.19,0.07,6.0,8803000
Berea,Heavy Rainfall,Moderate,Winter,75,2.96,0.1,0.15,0.06,5.5,3285500
Quthing,Heavy Rainfall,Moderate,Summer,104,2.81,0.14,0.2,0.08,7.0,4227500
Mokhotlong,Strong Winds,Critical,Summer,364,2.62,0.17,0.24,0.1,8.0,13528000
Butha-Buthe,Strong Winds,Low,Spring,30,2.67,0.14,0.19,0.08,6.5,1120000
Quthing,Heavy Rainfall,Low,Spring,49,2.88,0.14,0.2,0.08,7.0,2298000
Butha-Buthe,Strong Winds,Low,Spring,30,2.77,0.14,0.19,0.08,6.5,1563000
Thaba-Tseka,Strong Winds,Moderate,Autumn,200,2.69,0.16,0.23,0.09,7.5,6918000
Leribe,Drought,Critical,Summer,223,1.53,0.11,0.16,0.06,5.5,1391000
Mokhotlong,Heavy Rainfall,Moderate,Summer,117,2.75,0.17,0.24,0.1,8.0,3268000
Qacha's Nek,Drought,Moderate,Autumn,52,1.88,0.15,0.22,0.09,7.0,390000
Quthing,Strong Winds,Critical,Autumn,379,2.59,0.14,0.2,0.08,7.0,13837500
Mafeteng,Strong Winds,Moderate,Spring,102,2.73,0.12,0.18,0.07,6.0,4271000
Quthing,Strong Winds,Critical,Autumn,464,2.58,0.14,0.2,0.08,7.0,18460000
Maseru,Drought,Moderate,Autumn,74,1.69,0.08,0.12,0.05,4.5,421500
Mafeteng,Strong Winds,Critical,Winter,342,2.65,0.12,0.18,0.07,6.0,12551500
Mohale's Hoek,Drought,Moderate,Winter,144,1.64,0.13,0.19,0.07,6.0,1042500
Berea,Drought,Critical,Summer,436,1.58,0.1,0.15,0.06,5.5,2855000
Qacha's Nek,Drought,Low,Spring,11,1.55,0.15,0.22,0.09,7.0,67500
Butha-Buthe,Heavy Rainfall,Moderate,Winter,163,2.75,0.14,0.19,0.08,6.5,6124500
Mohale's Hoek,Drought,Moderate,Spring,130,1.62,0.13,0.19,0.07,6.0,871500
Quthing,Strong Winds,Moderate,Autumn,57,2.54,0.14,0.2,0.08,7.0,1921000
Qacha's Nek,Drought,Low,Summer,45,1.64,0.15,0.22,0.09,7.0,312500
Maseru,Drought,Moderate,Summer,94,1.57,0.08,0.12,0.05,4.5,536000
Mafeteng,Drought,Critical,Winter,452,1.61,0.12,0.18,0.07,6.0,3042500
Leribe,Drought,Moderate,Autumn,89,1.62,0.11,0.16,0.06,5.5,606500
Mohale's Hoek,Strong Winds,Low,Summer,28,2.46,0.13,0.19,0.07,6.0,1012500
Mohale's Hoek,Strong Winds,Critical,Autumn,428,2.61,0.13,0.19,0.07,6.0,16532500
Mafeteng,Strong Winds,Moderate,Winter,102,2.63,0.12,0.18,0.07,6.0,4131500
Leribe,Drought,Moderate,Spring,117,1.63,0.11,0.16,0.06,5.5,783500
Berea,Strong Winds,Critical,Autumn,399,2.58,0.1,0.15,0.06,5.5,15103000
Butha-Buthe,Strong Winds,Critical,Spring,265,2.48,0.14,0.19,0.08,6.5,9165000
Mokhotlong,Strong Winds,Moderate,Winter,185,2.6,0.17,0.24,0.1,8.0,6940000
Maseru,Drought,Critical,Summer,403,1.59,0.08,0.12,0.05,4.5,2408000
Mohale's Hoek,Heavy Rainfall,Moderate,Spring,131,2.93,0.13,0.19,0.07,6.0,5950500
Leribe,Drought,Low,Autumn,38,1.53,0.11,0.16,0.06,5.5,242500
Mohale's Hoek,Strong Winds,Moderate,Winter,151,2.61,0.13,0.19,0.07,6.0,6056000
Butha-Buthe,Heavy Rainfall,Low,Summer,16,3.0,0.14,0.19,0.08,6.5,512000
Butha-Buthe,Drought,Moderate,Winter,105,1.5,0.14,0.19,0.08,6.5,695500
Mafeteng,Strong Winds,Low,Winter,48,2.5,0.12,0.18,0.07,6.0,1660000
Mafeteng,Heavy Rainfall,Moderate,Summer,61,2.74,0.12,0.18,0.07,6.0,1881000
Mohale's Hoek,Strong Winds,Low,Spring,13,2.92,0.13,0.19,0.07,6.0,746500
Mafeteng,Heavy Rainfall,Critical,Autumn,473,2.85,0.12,0.18,0.07,6.0,20174500
Qacha's Nek,Strong Winds,Critical,Autumn,262,2.52,0.15,0.22,0.09,7.0,9026500
Mohale's Hoek,Strong Winds,Moderate,Spring,179,2.65,0.13,0.19,0.07,6.0,6030000
Butha-Buthe,Drought,Moderate,Summer,84,1.64,0.14,0.19,0.08,6.5,583500
Qacha's Nek,Drought,Low,Summer,43,1.53,0.15,0.22,0.09,7.0,277000
Quthing,Strong Winds,Critical,Autumn,304,2.65,0.14,0.2,0.08,7.0,10620000
Mohale's Hoek,Heavy Rainfall,Critical,Winter,406,2.83,0.13,0.19,0.07,6.0,14878500
Butha-Buthe,Drought,Critical,Winter,409,1.62,0.14,0.19,0.08,6.5,2868000
Qacha's Nek,Strong Winds,Low,Autumn,42,2.48,0.15,0.22,0.09,7.0,1492500
Butha-Buthe,Heavy Rainfall,Moderate,Winter,171,2.85,0.14,0.19,0.08,6.5,7233500
Butha-Buthe,Drought,Moderate,Winter,139,1.62,0.14,0.19,0.08,6.5,976000
Leribe,Strong Winds,Moderate,Spring,66,2.61,0.11,0.16,0.06,5.5,2171500
Thaba-Tseka,Heavy Rainfall,Moderate,Winter,72,2.96,0.16,0.23,0.09,7.5,3162500
Mafeteng,Heavy Rainfall,Low,Winter,21,2.33,0.12,0.18,0.07,6.0,440500
Berea,Drought,Low,Summer,15,1.47,0.1,0.15,0.06,5.5,94500
Mokhotlong,Heavy Rainfall,Critical,Summer,244,2.83,0.17,0.24,0.1,8.0,10114000
Mafeteng,Heavy Rainfall,Critical,Summer,416,2.82,0.12,0.18,0.07,6.0,17026500
Mohale's Hoek,Heavy Rainfall,Critical,Summer,394,2.78,0.13,0.19,0.07,6.0,13852500
Berea,Strong Winds,Low,Spring,39,2.62,0.1,0.15,0.06,5.5,1482000
Butha-Buthe,Drought,Low,Summer,21,1.86,0.14,0.19,0.08,6.5,151000
Berea,Strong Winds,Moderate,Summer,52,2.63,0.1,0.15,0.06,5.5,2075000
Maseru,Strong Winds,Critical,Summer,378,2.65,0.08,0.12,0.05,4.5,14869000
Qacha's Nek,Strong Winds,Critical,Autumn,371,2.65,0.15,0.22,0.09,7.0,14060000
Leribe,Heavy Rainfall,Critical,Spring,304,2.79,0.11,0.16,0.06,5.5,10868500
Leribe,Heavy Rainfall,Critical,Summer,282,2.77,0.11,0.16,0.06,5.5,10791500
Butha-Buthe,Drought,Critical,Winter,228,1.61,0.14,0.19,0.08,6.5,1534000
Leribe,Heavy Rainfall,Critical,Autumn,289,2.81,0.11,0.16,0.06,5.5,10806000
Maseru,Heavy Rainfall,Low,Spring,22,3.23,0.08,0.12,0.05,4.5,1175000
Mohale's Hoek,Heavy Rainfall,Moderate,Autumn,75,2.96,0.13,0.19,0.07,6.0,3108500
Qacha's Nek,Drought,Critical,Summer,438,1.57,0.15,0.22,0.09,7.0,2988500
Butha-Buthe,Drought,Moderate,Winter,52,1.63,0.14,0.19,0.08,6.5,351000
Butha-Buthe,Drought,Moderate,Summer,97,1.47,0.14,0.19,0.08,6.5,621000
Maseru,Strong Winds,Moderate,Autumn,104,2.53,0.08,0.12,0.05,4.5,3919000
Leribe,Heavy Rainfall,Critical,Spring,398,2.82,0.11,0.16,0.06,5.5,16151000
Thaba-Tseka,Heavy Rainfall,Moderate,Autumn,117,2.82,0.16,0.23,0.09,7.5,4676500
Leribe,Drought,Critical,Winter,298,1.58,0.11,0.16,0.06,5.5,1969500
Mohale's Hoek,Drought,Moderate,Spring,67,1.64,0.13,0.19,0.07,6.0,439500
Mafeteng,Strong Winds,Low,Spring,49,2.47,0.12,0.18,0.07,6.0,1604000
Leribe,Strong Winds,Critical,Summer,244,2.57,0.11,0.16,0.06,5.5,9260000
Leribe,Drought,Critical,Winter,284,1.65,0.11,0.16,0.06,5.5,1908500
Leribe,Drought,Moderate,Winter,140,1.58,0.11,0.16,0.06,5.5,942000
Maseru,Drought,Moderate,Spring,91,1.67,0.08,0.12,0.05,4.5,564000
Mohale's Hoek,Strong Winds,Critical,Spring,351,2.51,0.13,0.19,0.07,6.0,12533500
Maseru,Heavy Rainfall,Critical,Winter,489,2.82,0.08,0.12,0.05,4.5,18705500
Maseru,Strong Winds,Low,Winter,16,2.44,0.08,0.12,0.05,4.5,536000
Maseru,Drought,Low,Summer,33,1.58,0.08,0.12,0.05,4.5,216500
Qacha's Nek,Strong Winds,Critical,Autumn,402,2.49,0.15,0.22,0.09,7.0,13857500
Mokhotlong,Strong Winds,Critical,Spring,307,2.53,0.17,0.24,0.1,8.0,10118000
Qacha's Nek,Strong Winds,Critical,Autumn,348,2.57,0.15,0.22,0.09,7.0,13259500
Quthing,Heavy Rainfall,Critical,Spring,275,2.8,0.14,0.2,0.08,7.0,9872500
Mokhotlong,Heavy Rainfall,Moderate,Autumn,138,2.76,0.17,0.24,0.1,8.0,5323500
Mafeteng,Heavy Rainfall,Low,Winter,19,2.79,0.12,0.18,0.07,6.0,731000
Mokhotlong,Drought,Critical,Winter,486,1.65,0.17,0.24,0.1,8.0,3454000
Berea,Drought,Critical,Autumn,227,1.59,0.1,0.15,0.06,5.5,1528000
Qacha's Nek,Drought,Moderate,Winter,114,1.61,0.15,0.22,0.09,7.0,791000
Thaba-Tseka,Strong Winds,Critical,Spring,306,2.56,0.16,0.23,0.09,7.5,10430000
Leribe,Strong Winds,Moderate,Winter,81,2.59,0.11,0.16,0.06,5.5,2797000
Mafeteng,Strong Winds,Critical,Summer,472,2.54,0.12,0.18,0.07,6.0,17476500
Thaba-Tseka,Strong Winds,Moderate,Spring,115,2.72,0.16,0.23,0.09,7.5,5100000
Butha-Buthe,Drought,Critical,Summer,469,1.57,0.14,0.19,0.08,6.5,3194500
Leribe,Strong Winds,Low,Summer,24,2.5,0.11,0.16,0.06,5.5,917000
Butha-Buthe,Strong Winds,Low,Autumn,33,2.79,0.14,0.19,0.08,6.5,1564500
Quthing,Drought,Low,Winter,48,1.54,0.14,0.2,0.08,7.0,329500
Berea,Strong Winds,Moderate,Spring,200,2.62,0.1,0.15,0.06,5.5,7869000
Mafeteng,Drought,Moderate,Autumn,182,1.57,0.12,0.18,0.07,6.0,1201000
Leribe,Drought,Critical,Spring,495,1.59,0.11,0.16,0.06,5.5,3269500
Qacha's Nek,Heavy Rainfall,Critical,Winter,410,2.84,0.15,0.22,0.09,7.0,16347000
Mokhotlong,Strong Winds,Moderate,Autumn,184,2.5,0.17,0.24,0.1,8.0,7130500
Mafeteng,Heavy Rainfall,Critical,Winter,489,2.79,0.12,0.18,0.07,6.0,18183500
Mokhotlong,Strong Winds,Critical,Spring,274,2.62,0.17,0.24,0.1,8.0,9651500
Quthing,Heavy Rainfall,Critical,Winter,361,2.8,0.14,0.2,0.08,7.0,13851000
Maseru,Heavy Rainfall,Critical,Spring,337,2.78,0.08,0.12,0.05,4.5,12124500
Mohale's Hoek,Heavy Rainfall,Low,Winter,43,2.72,0.13,0.19,0.07,6.0,1326500
Mohale's Hoek,Strong Winds,Critical,Winter,246,2.58,0.13,0.19,0.07,6.0,9229500
Thaba-Tseka,Drought,Moderate,Summer,148,1.59,0.16,0.23,0.09,7.5,988500
Berea,Strong Winds,Low,Spring,46,2.87,0.1,0.15,0.06,5.5,2077000
Maseru,Strong Winds,Moderate,Spring,58,2.52,0.08,0.12,0.05,4.5,1842500
Quthing,Heavy Rainfall,Moderate,Spring,163,2.82,0.14,0.2,0.08,7.0,6615000
Mohale's Hoek,Drought,Moderate,Summer,115,1.68,0.13,0.19,0.07,6.0,804500
Mokhotlong,Heavy Rainfall,Moderate,Summer,73,2.6,0.17,0.24,0.1,8.0,2112500
Quthing,Strong Winds,Low,Autumn,19,2.74,0.14,0.2,0.08,7.0,738000
Mokhotlong,Heavy Rainfall,Moderate,Autumn,143,2.8,0.17,0.24,0.1,8.0,5521000
Mokhotlong,Drought,Moderate,Autumn,83,1.54,0.17,0.24,0.1,8.0,565000
Thaba-Tseka,Heavy Rainfall,Moderate,Autumn,196,2.74,0.16,0.23,0.09,7.5,7605000
Mokhotlong,Strong Winds,Critical,Winter,336,2.59,0.17,0.24,0.1,8.0,13693000
Maseru,Heavy Rainfall,Low,Winter,32,2.81,0.08,0.12,0.05,4.5,1231500
Quthing,Heavy Rainfall,Low,Summer,42,2.74,0.14,0.2,0.08,7.0,2190500
Berea,Drought,Critical,Summer,303,1.59,0.1,0.15,0.06,5.5,1982000
Thaba-Tseka,Strong Winds,Critical,Autumn,296,2.56,0.16,0.23,0.09,7.5,11229500
Thaba-Tseka,Heavy Rainfall,Moderate,Autumn,145,2.87,0.16,0.23,0.09,7.5,6389500
Thaba-Tseka,Drought,Moderate,Summer,72,1.68,0.16,0.23,0.09,7.5,526500
Mafeteng,Heavy Rainfall,Critical,Spring,357,2.72,0.12,0.18,0.07,6.0,12807000
Quthing,Drought,Critical,Summer,324,1.64,0.14,0.2,0.08,7.0,2316000
Leribe,Heavy Rainfall,Critical,Spring,393,2.83,0.11,0.16,0.06,5.5,15919500
Maseru,Drought,Critical,Autumn,493,1.58,0.08,0.12,0.05,4.5,2849500
Leribe,Drought,Moderate,Summer,99,1.61,0.11,0.16,0.06,5.5,666000
Butha-Buthe,Drought,Critical,Winter,458,1.65,0.14,0.19,0.08,6.5,3217000
Mafeteng,Heavy Rainfall,Low,Winter,36,2.75,0.12,0.18,0.07,6.0,1337000
Maseru,Drought,Moderate,Summer,187,1.53,0.08,0.12,0.05,4.5,1127500
Thaba-Tseka,Heavy Rainfall,Moderate,Autumn,74,2.96,0.16,0.23,0.09,7.5,2896500
Mafeteng,Heavy Rainfall,Critical,Winter,470,2.81,0.12,0.18,0.07,6.0,19338500
Maseru,Strong Winds,Low,Summer,39,2.74,0.08,0.12,0.05,4.5,1653500
Qacha's Nek,Drought,Moderate,Spring,134,1.53,0.15,0.22,0.09,7.0,947500
Leribe,Heavy Rainfall,Moderate,Spring,97,2.8,0.11,0.16,0.06,5.5,3745000
Qacha's Nek,Heavy Rainfall,Critical,Summer,377,2.84,0.15,0.22,0.09,7.0,16241500
Maseru,Heavy Rainfall,Low,Spring,20,2.85,0.08,0.12,0.05,4.5,787500
Quthing,Strong Winds,Critical,Summer,358,2.62,0.14,0.2,0.08,7.0,13357000
Mafeteng,Strong Winds,Low,Spring,31,2.52,0.12,0.18,0.07,6.0,933000
Quthing,Drought,Low,Summer,17,1.53,0.14,0.2,0.08,7.0,124000
Qacha's Nek,Strong Winds,Critical,Summer,373,2.59,0.15,0.22,0.09,7.0,15399000
Mafeteng,Heavy Rainfall,Low,Autumn,40,2.85,0.12,0.18,0.07,6.0,1866000
Quthing,Strong Winds,Moderate,Winter,169,2.56,0.14,0.2,0.08,7.0,6117500
Butha-Buthe,Strong Winds,Critical,Spring,451,2.65,0.14,0.19,0.08,6.5,16257500
Mokhotlong,Strong Winds,Low,Autumn,20,2.55,0.17,0.24,0.1,8.0,671500
Berea,Drought,Moderate,Summer,106,1.47,0.1,0.15,0.06,5.5,725000
Mohale's Hoek,Strong Winds,Low,Autumn,37,2.78,0.13,0.19,0.07,6.0,1167500
Qacha's Nek,Strong Winds,Critical,Summer,239,2.6,0.15,0.22,0.09,7.0,9304000
Maseru,Drought,Critical,Autumn,296,1.65,0.08,0.12,0.05,4.5,1715000
Thaba-Tseka,Drought,Moderate,Summer,90,1.58,0.16,0.23,0.09,7.5,626500
Quthing,Heavy Rainfall,Moderate,Winter,185,2.78,0.14,0.2,0.08,7.0,6961500
Mohale's Hoek,Drought,Critical,Winter,379,1.63,0.13,0.19,0.07,6.0,2682500
Qacha's Nek,Strong Winds,Low,Spring,35,2.46,0.15,0.22,0.09,7.0,949000
Qacha's Nek,Drought,Critical,Spring,387,1.58,0.15,0.22,0.09,7.0,2690500
Qacha's Nek,Heavy Rainfall,Moderate,Winter,163,2.77,0.15,0.22,0.09,7.0,6126500
