Disaster_Type,District,Severity,Affected_Population,Affected_Households,Houses_Damaged,Immediate_Needs,Duration_Days,Estimated_Cost_Maloti
Drought,Butha-Buthe,Low,21625,7518,0,Food & Water Relief,270,47853561.90418113
Heavy Rainfall,Mohale's Hoek,Low,641,2759,327,Infrastructure & Relief,113,11375734.93207212
Strong Winds,Qacha's Nek,Moderate,23883,4349,101,Medical Aid,110,20142399.106784254
Drought,Leribe,Low,42909,5494,0,Food & Water Relief,330,186363679.476637
Heavy Rainfall,Quthing,Moderate,11502,1631,18,Infrastructure & Relief,168,9076479.31619852
Strong Winds,Quthing,Low,7316,1862,77,Relief Supplies,8,4829372.002946113
Heavy Rainfall,Quthing,Severe,41072,7889,597,Infrastructure & Relief,113,53041197.66214818
Heavy Rainfall,Leribe,Low,1278,9877,660,Infrastructure & Relief,137,30497731.322411284
Drought,Berea,Low,21461,827,0,Food & Water Relief,90,12622989.202161508
Heavy Rainfall,Quthing,Severe,46214,6848,405,Infrastructure & Relief,132,64753922.66320529
Drought,Mokhotlong,Low,43855,871,0,Food & Water Relief,240,129260242.59556855
Heavy Rainfall,Qacha's Nek,Severe,18069,2494,256,Infrastructure & Relief,61,30504474.460196897
Heavy Rainfall,Thaba-Tseka,Moderate,4878,7915,466,Infrastructure & Relief,168,40518145.67018664
Heavy Rainfall,Leribe,Severe,18339,6992,851,Infrastructure & Relief,136,63354120.94488628
Drought,Mafeteng,Low,38255,4797,0,Food & Water Relief,270,132106676.47997548
Heavy Rainfall,Thaba-Tseka,Severe,5982,6476,776,Infrastructure & Relief,59,57354877.73365808
Drought,Mokhotlong,Low,3612,5770,0,Food & Water Relief,150,13792237.567818716
Strong Winds,Berea,Moderate,44699,8310,331,Shelter,161,44329543.28479135
Strong Winds,Thaba-Tseka,Low,34255,3421,7,Shelter,175,5893317.585609832
Drought,Berea,Low,22690,1975,0,Food & Water Relief,120,23752510.608428262
Strong Winds,Mafeteng,Moderate,17477,1874,155,Shelter,143,7487055.412429569
Strong Winds,Mokhotlong,Low,6389,5154,104,Relief Supplies,10,20376443.8030822
Heavy Rainfall,Butha-Buthe,Severe,5158,7644,550,Infrastructure & Relief,166,46284849.825910255
Drought,Qacha's Nek,Low,23285,4108,0,Food & Water Relief,150,35369280.28337562
Drought,Thaba-Tseka,Low,38744,9528,0,Food & Water Relief,90,35359859.53710468
Strong Winds,Mohale's Hoek,Low,35087,1230,17,Medical Aid,122,4448804.946135687
Heavy Rainfall,Butha-Buthe,Severe,35091,1574,194,Infrastructure & Relief,48,36604676.59755574
Heavy Rainfall,Quthing,Moderate,1641,1735,123,Infrastructure & Relief,165,9127939.777860617
Strong Winds,Berea,Moderate,19490,6006,201,Relief Supplies,126,24394274.330915418
Drought,Berea,Low,11620,1929,0,Food & Water Relief,210,27444471.519713566
Heavy Rainfall,Berea,Severe,17938,5844,433,Infrastructure & Relief,4,42079015.058826625
Heavy Rainfall,Mohale's Hoek,Severe,37726,6691,233,Infrastructure & Relief,170,37535943.70205359
Strong Winds,Thaba-Tseka,Moderate,19056,5768,169,Shelter,18,23845727.433731526
Strong Winds,Berea,Moderate,25872,4254,125,Shelter,68,15778748.297548218
Strong Winds,Maseru,Moderate,16348,2452,140,Relief Supplies,87,9886138.881378176
Drought,Leribe,Low,47133,9669,0,Food & Water Relief,150,59956745.44006033
Drought,Maseru,Low,8991,238,0,Food & Water Relief,270,25166554.91323008
Drought,Qacha's Nek,Low,16496,6726,0,Food & Water Relief,120,25627556.1797826
Strong Winds,Leribe,Moderate,20719,8117,103,Relief Supplies,165,33849300.6066209
Drought,Maseru,Low,19451,1407,0,Food & Water Relief,210,40847599.379485235
Drought,Maseru,Low,25342,1808,0,Food & Water Relief,240,43244558.43573072
Strong Winds,Berea,Low,1707,2060,45,Relief Supplies,147,5262637.881632312
Heavy Rainfall,Mafeteng,Severe,30035,7266,694,Infrastructure & Relief,143,64726602.69375188
Drought,Quthing,Low,39910,3925,0,Food & Water Relief,90,52175789.834971875
Heavy Rainfall,Leribe,Severe,22690,6242,750,Infrastructure & Relief,116,70661459.32145837
Strong Winds,Berea,Low,2884,4035,327,Medical Aid,69,15593441.729808716
Strong Winds,Mokhotlong,Moderate,34405,4217,348,Relief Supplies,42,31534482.955246534
Heavy Rainfall,Maseru,Severe,18111,6437,680,Infrastructure & Relief,19,53471526.893540725
Heavy Rainfall,Qacha's Nek,Severe,19725,4308,487,Infrastructure & Relief,1,46606353.443127155
Drought,Maseru,Low,21120,8168,0,Food & Water Relief,330,94709499.69605537
Heavy Rainfall,Qacha's Nek,Severe,28682,4997,383,Infrastructure & Relief,142,40360264.050183006
Strong Winds,Butha-Buthe,Low,2592,2230,122,Relief Supplies,119,6140378.624634182
Heavy Rainfall,Thaba-Tseka,Moderate,41091,7455,321,Infrastructure & Relief,39,37974357.562172234
Drought,Qacha's Nek,Low,18122,9265,0,Food & Water Relief,300,62084129.34366232
Strong Winds,Mokhotlong,Moderate,28954,2468,144,Shelter,147,8382220.624337385
Strong Winds,Leribe,Moderate,24364,9596,725,Medical Aid,74,65522523.40070193
Heavy Rainfall,Mafeteng,Moderate,2089,9879,659,Infrastructure & Relief,152,40789755.8613322
Drought,Mohale's Hoek,Low,46609,6946,0,Food & Water Relief,180,65956512.88380314
Heavy Rainfall,Mokhotlong,Severe,39314,5045,353,Infrastructure & Relief,93,39559178.730011694
Heavy Rainfall,Butha-Buthe,Moderate,3667,6452,342,Infrastructure & Relief,64,25726060.134352565
Strong Winds,Quthing,Moderate,19508,5838,136,Medical Aid,82,26787039.77793187
Drought,Leribe,Low,43648,9398,0,Food & Water Relief,90,48174286.22479954
Drought,Maseru,Low,43908,8762,0,Food & Water Relief,90,64863767.193332545
Drought,Thaba-Tseka,Low,6818,3896,0,Food & Water Relief,210,21560712.52696116
Drought,Berea,Low,28599,4988,0,Food & Water Relief,330,67611898.8118582
Strong Winds,Thaba-Tseka,Moderate,46468,1224,117,Medical Aid,47,8078484.969910754
Heavy Rainfall,Leribe,Severe,5855,5068,454,Infrastructure & Relief,16,41196123.230340704
Strong Winds,Quthing,Moderate,30654,3993,99,Shelter,137,10832967.962813916
Drought,Mafeteng,Low,47877,7270,0,Food & Water Relief,240,132588902.86388826
Heavy Rainfall,Mohale's Hoek,Moderate,9047,334,34,Infrastructure & Relief,47,9386803.830819508
Strong Winds,Thaba-Tseka,Moderate,28672,3848,101,Relief Supplies,138,10020795.865805816
Drought,Quthing,Low,41846,2258,0,Food & Water Relief,240,103202710.17026865
Strong Winds,Quthing,Low,1901,3359,229,Shelter,175,18287097.871882617
Strong Winds,Qacha's Nek,Moderate,12367,2845,282,Relief Supplies,162,19105831.431042828
Strong Winds,Mohale's Hoek,Moderate,28538,4163,223,Shelter,7,24493042.11836837
Strong Winds,Maseru,Low,21463,1072,6,Medical Aid,8,3790740.924662464
Strong Winds,Mokhotlong,Moderate,48332,8935,615,Medical Aid,156,69009999.47138898
Strong Winds,Mokhotlong,Moderate,49567,9533,515,Relief Supplies,56,47903091.705034055
Heavy Rainfall,Mohale's Hoek,Severe,17116,9844,1113,Infrastructure & Relief,45,79152072.03753987
Drought,Maseru,Low,13879,5202,0,Food & Water Relief,90,18406453.352240972
Heavy Rainfall,Quthing,Severe,19490,8450,488,Infrastructure & Relief,105,54641177.83929096
Drought,Qacha's Nek,Low,34964,2046,0,Food & Water Relief,120,34314125.37527892
Strong Winds,Maseru,Moderate,45105,2745,209,Relief Supplies,3,16356645.308346216
Heavy Rainfall,Mohale's Hoek,Low,1616,592,32,Infrastructure & Relief,70,2754773.4162767986
Strong Winds,Mafeteng,Moderate,26351,2843,186,Relief Supplies,101,13524638.16226967
Strong Winds,Butha-Buthe,Moderate,40454,6202,310,Relief Supplies,4,43174587.60338279
Drought,Butha-Buthe,Low,34564,8536,0,Food & Water Relief,120,64588763.217784695
Heavy Rainfall,Qacha's Nek,Severe,11217,3523,93,Infrastructure & Relief,86,16345794.261899877
Strong Winds,Mohale's Hoek,Moderate,28191,2568,73,Shelter,171,11326287.449476503
Strong Winds,Qacha's Nek,Moderate,19101,5067,321,Medical Aid,101,23166471.557727456
Drought,Quthing,Low,37712,7718,0,Food & Water Relief,180,61483146.29983933
Drought,Butha-Buthe,Low,2676,3843,0,Food & Water Relief,330,14356292.896186795
Strong Winds,Leribe,Moderate,41046,3796,358,Medical Aid,173,25374571.681675397
Strong Winds,Mafeteng,Moderate,17576,3262,81,Shelter,109,9592224.460063858
Drought,Thaba-Tseka,Low,13102,3886,0,Food & Water Relief,330,28005968.50481928
Strong Winds,Mohale's Hoek,Moderate,43861,1872,168,Shelter,56,13531734.369631927
Drought,Maseru,Low,23126,1232,0,Food & Water Relief,270,83493890.31506519
Strong Winds,Maseru,Low,5057,2279,22,Relief Supplies,109,8287305.500101966
Strong Winds,Qacha's Nek,Moderate,39964,9683,146,Medical Aid,68,39850052.416256934
Heavy Rainfall,Leribe,Low,35736,9682,39,Infrastructure & Relief,4,19083571.821544826
Drought,Butha-Buthe,Low,27556,6714,0,Food & Water Relief,210,52482316.520536035
Strong Winds,Maseru,Moderate,38044,924,59,Relief Supplies,168,5733806.813564304
Drought,Mokhotlong,Low,20040,4407,0,Food & Water Relief,150,41744723.694258496
Heavy Rainfall,Leribe,Severe,30706,3340,396,Infrastructure & Relief,155,48153855.55825402
Drought,Quthing,Low,21475,3550,0,Food & Water Relief,240,49118079.968496524
Heavy Rainfall,Maseru,Severe,25385,2808,240,Infrastructure & Relief,162,30892690.906097516
Drought,Quthing,Low,9668,3822,0,Food & Water Relief,240,22731151.789123103
Drought,Quthing,Low,11656,2900,0,Food & Water Relief,90,14470675.700438287
Strong Winds,Quthing,Moderate,30066,7461,103,Medical Aid,1,27662915.608481504
Drought,Mokhotlong,Low,14189,266,0,Food & Water Relief,330,37555052.42533016
Strong Winds,Quthing,Moderate,22144,4457,339,Shelter,76,33357552.227140933
Drought,Mokhotlong,Low,37555,4260,0,Food & Water Relief,90,32819787.48095149
Heavy Rainfall,Berea,Severe,5446,8334,487,Infrastructure & Relief,59,43994029.32424828
Strong Winds,Leribe,Low,5497,7132,167,Medical Aid,80,21629550.11784327
Heavy Rainfall,Qacha's Nek,Moderate,46080,1955,189,Infrastructure & Relief,148,46156446.205013074
Drought,Mafeteng,Low,28298,9829,0,Food & Water Relief,300,115264209.78656873
Drought,Qacha's Nek,Low,41834,8051,0,Food & Water Relief,270,152661177.8655538
Strong Winds,Berea,Moderate,22015,3297,52,Medical Aid,134,11244654.170589523
Strong Winds,Maseru,Moderate,11308,6143,68,Relief Supplies,50,18985678.894377038
Strong Winds,Leribe,Moderate,21705,6440,449,Relief Supplies,141,46370134.80664843
Heavy Rainfall,Mokhotlong,Severe,16450,9841,214,Infrastructure & Relief,82,25552355.769255664
Drought,Thaba-Tseka,Low,29740,9707,0,Food & Water Relief,90,27840968.01689101
Heavy Rainfall,Quthing,Low,2488,3902,176,Infrastructure & Relief,2,6524279.934852915
Heavy Rainfall,Mohale's Hoek,Low,4617,8445,218,Infrastructure & Relief,108,12469131.738793597
Drought,Mafeteng,Low,36822,2949,0,Food & Water Relief,240,122877975.45984818
Heavy Rainfall,Quthing,Severe,46036,7619,559,Infrastructure & Relief,65,54620388.978241526
Drought,Thaba-Tseka,Low,14796,6509,0,Food & Water Relief,210,50272663.74990146
Strong Winds,Qacha's Nek,Low,2313,8901,413,Shelter,45,39303422.25450479
Drought,Berea,Low,582,2020,0,Food & Water Relief,180,3972401.7418622877
Heavy Rainfall,Mohale's Hoek,Severe,44164,5037,369,Infrastructure & Relief,153,46301582.04373048
Drought,Mafeteng,Low,4176,2526,0,Food & Water Relief,330,16969971.646435104
Strong Winds,Quthing,Moderate,26140,4117,211,Shelter,151,14803976.003718488
Drought,Mafeteng,Low,38387,5794,0,Food & Water Relief,90,30332368.111640174
Heavy Rainfall,Qacha's Nek,Severe,10942,8352,945,Infrastructure & Relief,48,75560384.90029572
Drought,Thaba-Tseka,Low,1861,9865,0,Food & Water Relief,150,10926141.497654466
Heavy Rainfall,Leribe,Moderate,35261,969,64,Infrastructure & Relief,73,30200426.21981111
Strong Winds,Mohale's Hoek,Moderate,24670,8124,294,Shelter,37,51919593.89932729
Strong Winds,Butha-Buthe,Moderate,13355,3358,257,Shelter,168,24573546.21150453
Heavy Rainfall,Maseru,Severe,26434,7797,865,Infrastructure & Relief,135,81002170.76202886
Strong Winds,Mohale's Hoek,Moderate,27211,8103,206,Shelter,121,32859845.658858687
Strong Winds,Mohale's Hoek,Low,32281,5203,20,Relief Supplies,84,23106473.919826552
Drought,Leribe,Low,12856,295,0,Food & Water Relief,300,39934996.16810168
Strong Winds,Thaba-Tseka,Moderate,14887,4027,152,Shelter,96,23889515.382558484
Strong Winds,Mafeteng,Moderate,39389,1300,105,Relief Supplies,61,11032695.55369841
Strong Winds,Mohale's Hoek,Low,48614,2694,38,Relief Supplies,87,12300412.810155934
Strong Winds,Mokhotlong,Moderate,25027,7068,456,Shelter,160,37406390.96103552
Heavy Rainfall,Mafeteng,Moderate,6020,3787,84,Infrastructure & Relief,33,9609752.699673709
Heavy Rainfall,Berea,Moderate,5233,7181,498,Infrastructure & Relief,28,33002540.20922079
Drought,Mokhotlong,Low,35562,3730,0,Food & Water Relief,240,70065902.61547577
Heavy Rainfall,Qacha's Nek,Moderate,43870,5728,136,Infrastructure & Relief,175,38298638.203489125
Heavy Rainfall,Berea,Severe,35216,9237,140,Infrastructure & Relief,177,28508660.859931413
Strong Winds,Mokhotlong,Moderate,19571,5051,281,Shelter,49,22977907.028603487
Drought,Mokhotlong,Low,30509,916,0,Food & Water Relief,270,75519109.62025476
Strong Winds,Quthing,Moderate,32630,7474,540,Shelter,144,46400957.33092635
Strong Winds,Mohale's Hoek,Moderate,40079,9388,631,Shelter,169,65916746.81625822
Drought,Leribe,Low,7273,3916,0,Food & Water Relief,270,21470949.330254838
Heavy Rainfall,Quthing,Moderate,29600,5094,138,Infrastructure & Relief,48,32437162.123934187
Heavy Rainfall,Qacha's Nek,Moderate,3081,2665,203,Infrastructure & Relief,49,18212032.37590195
Strong Winds,Butha-Buthe,Moderate,48437,6576,556,Relief Supplies,123,52740413.09273362
Heavy Rainfall,Leribe,Moderate,14662,102,5,Infrastructure & Relief,60,9045128.547748929
Drought,Thaba-Tseka,Low,44126,6339,0,Food & Water Relief,120,65352322.84815682
Drought,Butha-Buthe,Low,45035,5267,0,Food & Water Relief,330,159898323.01373047
Heavy Rainfall,Maseru,Moderate,3939,2954,313,Infrastructure & Relief,59,19184640.842704825
Drought,Quthing,Low,36210,8511,0,Food & Water Relief,240,115078824.83122742
Drought,Leribe,Low,16435,9095,0,Food & Water Relief,210,46696535.73385331
Heavy Rainfall,Mohale's Hoek,Moderate,17499,6044,39,Infrastructure & Relief,139,16348281.880370911
Drought,Berea,Low,19445,6639,0,Food & Water Relief,150,44377787.10511313
Strong Winds,Mohale's Hoek,Moderate,11244,4434,194,Relief Supplies,173,18622354.10825546
Strong Winds,Thaba-Tseka,Moderate,49408,1022,99,Medical Aid,132,7030834.607167928
Drought,Mokhotlong,Low,38201,9655,0,Food & Water Relief,210,101343771.986858
Strong Winds,Maseru,Moderate,39986,2681,69,Shelter,5,9547008.234718233
Heavy Rainfall,Butha-Buthe,Moderate,20643,2203,186,Infrastructure & Relief,146,27637772.829438195
Heavy Rainfall,Qacha's Nek,Low,2878,1305,124,Infrastructure & Relief,31,4666196.388510484
Drought,Thaba-Tseka,Low,37728,7102,0,Food & Water Relief,150,64586236.99795624
Strong Winds,Berea,Moderate,36118,3064,303,Shelter,152,14082764.34351628
Heavy Rainfall,Berea,Severe,17875,6147,694,Infrastructure & Relief,85,65050686.34548058
Strong Winds,Thaba-Tseka,Low,11276,167,12,Shelter,74,779828.3493344167
Strong Winds,Quthing,Moderate,38663,2358,86,Medical Aid,59,10506394.228237856
Strong Winds,Leribe,Low,22664,2927,49,Relief Supplies,153,12845506.491512826
Heavy Rainfall,Butha-Buthe,Moderate,20110,6937,721,Infrastructure & Relief,59,64086134.65168558
Drought,Quthing,Low,13788,2605,0,Food & Water Relief,240,26150676.88948587
Strong Winds,Qacha's Nek,Moderate,10441,7186,92,Relief Supplies,112,13950887.960715363
Strong Winds,Mokhotlong,Moderate,7726,5262,206,Relief Supplies,156,33337751.25926774
Heavy Rainfall,Butha-Buthe,Severe,25880,9236,741,Infrastructure & Relief,43,55712973.59750999
Heavy Rainfall,Mafeteng,Severe,24059,7229,720,Infrastructure & Relief,7,79238022.21515207
Strong Winds,Qacha's Nek,Moderate,40650,6331,255,Medical Aid,37,21113734.22650414
Heavy Rainfall,Berea,Severe,47330,3394,118,Infrastructure & Relief,124,34664257.061930634
Drought,Maseru,Low,6250,3956,0,Food & Water Relief,150,15120777.13471399
Drought,Thaba-Tseka,Low,47381,9054,0,Food & Water Relief,180,64865087.17552476
Drought,Maseru,Low,20039,4070,0,Food & Water Relief,210,56479681.95272422
Drought,Qacha's Nek,Low,25185,291,0,Food & Water Relief,300,56459760.34710478
